Filtro,RuidoUniforme,RuidoGaussiano,RuidoSalPimienta
Promedio_3x3,79.6900403413572,64.6872961791187,56.6929377172644
Promedio_5x5,86.7189143892775,79.9926589866381,71.3837236763166
Promedio_7x7,86.834247767918,83.5104812805113,78.2036078554629
Gauss_3x3_sigma_0_5,56.789694203696,37.2494378688234,41.5226231604674
Gauss_5x5_sigma_0_5,56.8326606192328,37.2879917556729,41.5491327794281
Gauss_7x7_sigma_0_5,56.8326625121282,37.2879934472728,41.549133958167
Gauss_3x3_sigma_1_9,79.9302885391704,64.8740424971645,57.0077346805084
Gauss_5x5_sigma_1_9,87.5629434348281,80.3832767686858,71.7700183833542
Gauss_7x7_sigma_1_9,88.7640737109106,84.396837922564,78.1141173141811
