Filtro,RuidoUniforme,RuidoGaussiano,RuidoSalPimienta
Promedio_3x3,79.6291937853901,64.8757286147697,56.4800533483116
Promedio_5x5,86.6888557127729,80.0995662856902,71.2568426956326
Promedio_7x7,86.8407107033199,83.5762740981777,78.072945566412
Gauss_3x3_sigma_0_5,56.7558520444009,37.3144514757433,41.2851973139803
Gauss_5x5_sigma_0_5,56.7988903239666,37.3530955865517,41.3116909782972
Gauss_7x7_sigma_0_5,56.7988922173034,37.3530972824761,41.3116921563913
Gauss_3x3_sigma_1_9,79.864393639705,65.0666902682722,56.7918128231207
Gauss_5x5_sigma_1_9,87.5178743170987,80.5216377428789,71.6429666490063
Gauss_7x7_sigma_1_9,88.7377378102536,84.5004797679916,77.9907229175751
